step,elapsed_sec,sec_per_step,lr,loss
143,1302,9.11,1.0e-04,2.982e-01
144,1312,9.11,1.0e-04,4.091e-01
145,1321,9.12,1.0e-04,2.794e-01
146,1331,9.12,1.0e-04,1.177e-01
147,1339,9.11,1.0e-04,3.545e-01
148,1349,9.12,1.0e-04,4.647e-01
149,1358,9.12,1.0e-04,4.876e-01
150,1367,9.12,1.0e-04,1.566e-01
151,1376,9.12,1.0e-04,3.618e-01
152,1384,9.11,1.0e-04,2.763e-01
153,1393,9.11,1.0e-04,2.858e-01
154,1402,9.11,1.0e-04,3.035e-01
155,1411,9.11,1.0e-04,1.903e-01
156,1421,9.11,1.0e-04,4.002e-01
157,1430,9.11,1.0e-04,4.686e-01
158,1439,9.11,1.0e-04,1.694e-01
159,1448,9.11,1.0e-04,2.702e-01
160,1457,9.11,1.0e-04,3.692e-01
161,1466,9.11,1.0e-04,3.322e-01
162,1475,9.11,1.0e-04,3.713e-01
163,1484,9.11,1.0e-04,4.492e-01
164,1493,9.10,1.0e-04,1.836e-01
165,1502,9.11,1.0e-04,1.801e-01
166,1511,9.11,1.0e-04,3.363e-01
167,1520,9.11,1.0e-04,2.536e-01
168,1529,9.11,1.0e-04,2.091e-01
169,1538,9.10,1.0e-04,3.790e-01
170,1547,9.10,1.0e-04,1.976e-01
171,1556,9.10,1.0e-04,5.039e-01
172,1565,9.10,1.0e-04,4.405e-01
173,1574,9.10,1.0e-04,4.043e-01
174,1583,9.10,1.0e-04,1.873e-01
175,1592,9.10,1.0e-04,4.553e-01
176,1600,9.10,1.0e-04,2.888e-01
177,1610,9.10,1.0e-04,1.615e-01
178,1619,9.10,1.0e-04,3.756e-01
179,1628,9.10,1.0e-04,2.920e-01
180,1637,9.10,1.0e-04,4.893e-01
181,1646,9.10,1.0e-04,2.015e-01
182,1655,9.09,1.0e-04,1.763e-01
183,1663,9.09,1.0e-04,3.925e-01
184,1672,9.09,1.0e-04,4.820e-01
185,1681,9.09,1.0e-04,1.839e-01
186,1690,9.09,1.0e-04,2.839e-01
187,1699,9.09,1.0e-04,4.431e-01
188,1709,9.09,1.0e-04,3.569e-01
189,1718,9.09,1.0e-04,1.829e-01
190,1727,9.09,1.0e-04,2.086e-01
191,1735,9.09,1.0e-04,2.698e-01
192,1745,9.09,1.0e-04,3.125e-01
193,1754,9.09,1.0e-04,1.486e-01
194,1762,9.09,1.0e-04,1.947e-01
195,1771,9.09,1.0e-04,4.595e-01
196,1780,9.08,1.0e-04,2.898e-01
197,1789,9.08,1.0e-04,2.027e-01
198,1798,9.08,1.0e-04,2.950e-01
199,1807,9.08,1.0e-04,4.194e-01
200,1817,9.09,1.0e-04,3.618e-01
201,1826,9.09,1.0e-04,2.451e-01
202,1835,9.08,1.0e-04,3.658e-01
203,1844,9.08,1.0e-04,1.524e-01
204,1852,9.08,1.0e-04,4.237e-01
205,1861,9.08,1.0e-04,4.482e-01
206,1869,9.08,1.0e-04,4.095e-01
207,1878,9.08,1.0e-04,2.679e-01
208,1887,9.07,1.0e-04,2.582e-01
209,1896,9.07,1.0e-04,3.009e-01
210,1905,9.07,1.0e-04,1.767e-01
211,1914,9.07,1.0e-04,3.195e-01
212,1923,9.07,1.0e-04,3.559e-01
213,1932,9.07,1.0e-04,1.073e-01
214,1942,9.08,1.0e-04,1.463e-01
215,1950,9.07,1.0e-04,4.119e-01
216,1960,9.07,1.0e-04,3.269e-01
217,1969,9.08,1.0e-04,1.067e-01
218,1978,9.08,1.0e-04,2.795e-01
219,1987,9.07,1.0e-04,1.454e-01
220,1996,9.07,1.0e-04,1.477e-01
221,2005,9.07,1.0e-04,1.661e-01
222,2014,9.07,1.0e-04,2.313e-01
223,2023,9.07,1.0e-04,3.827e-01
224,2031,9.07,1.0e-04,3.401e-01
225,2041,9.07,1.0e-04,1.401e-01
226,2050,9.07,1.0e-04,3.333e-01
227,2059,9.07,1.0e-04,2.371e-01
228,2068,9.07,1.0e-04,5.311e-01
229,2076,9.07,1.0e-04,3.383e-01
230,2085,9.07,1.0e-04,1.524e-01
231,2094,9.07,1.0e-04,2.561e-01
232,2103,9.07,1.0e-04,3.264e-01
233,2112,9.07,1.0e-04,4.605e-01
234,2122,9.07,1.0e-04,1.835e-01
235,2130,9.07,1.0e-04,4.708e-01
236,2139,9.07,1.0e-04,4.317e-01
237,2148,9.07,1.0e-04,3.541e-01
238,2157,9.07,1.0e-04,2.217e-01
239,2167,9.07,1.0e-04,2.059e-01
