step,elapsed_sec,sec_per_step,lr,loss
610,5515,9.04,1.0e-04,2.646e-01
611,5525,9.04,1.0e-04,1.069e-01
612,5534,9.04,1.0e-04,1.673e-01
613,5542,9.04,1.0e-04,3.291e-01
614,5551,9.04,1.0e-04,2.779e-01
615,5560,9.04,1.0e-04,1.681e-01
616,5569,9.04,1.0e-04,2.503e-01
617,5578,9.04,1.0e-04,1.904e-01
618,5587,9.04,1.0e-04,3.667e-01
619,5596,9.04,1.0e-04,3.170e-01
620,5604,9.04,1.0e-04,2.306e-01
621,5614,9.04,1.0e-04,1.750e-01
622,5623,9.04,1.0e-04,1.945e-01
623,5632,9.04,1.0e-04,2.493e-01
624,5641,9.04,1.0e-04,3.243e-01
625,5650,9.04,1.0e-04,2.667e-01
626,5659,9.04,1.0e-04,3.316e-01
627,5668,9.04,1.0e-04,2.604e-01
628,5677,9.04,1.0e-04,2.445e-01
629,5686,9.04,1.0e-04,1.626e-01
630,5695,9.04,1.0e-04,3.316e-01
631,5704,9.04,1.0e-04,2.285e-01
632,5713,9.04,1.0e-04,1.338e-01
633,5723,9.04,1.0e-04,3.565e-01
634,5731,9.04,1.0e-04,2.509e-01
635,5740,9.04,1.0e-04,1.491e-01
636,5749,9.04,1.0e-04,2.046e-01
637,5757,9.04,1.0e-04,2.713e-01
638,5766,9.04,1.0e-04,2.892e-01
639,5775,9.04,1.0e-04,1.714e-01
640,5784,9.04,1.0e-04,3.651e-01
641,5793,9.04,1.0e-04,3.256e-01
642,5802,9.04,1.0e-04,3.160e-01
643,5811,9.04,1.0e-04,3.988e-01
644,5820,9.04,1.0e-04,2.064e-01
645,5829,9.04,1.0e-04,2.558e-01
646,5838,9.04,1.0e-04,1.706e-01
647,5846,9.04,1.0e-04,2.359e-01
648,5855,9.04,1.0e-04,1.311e-01
649,5864,9.04,1.0e-04,3.425e-01
650,5872,9.04,1.0e-04,3.078e-01
651,5881,9.04,1.0e-04,1.465e-01
652,5890,9.03,1.0e-04,1.492e-01
653,5900,9.04,1.0e-04,1.299e-01
654,5908,9.04,1.0e-04,2.079e-01
655,5918,9.04,1.0e-04,1.394e-01
656,5927,9.04,1.0e-04,1.801e-01
657,5936,9.04,1.0e-04,2.952e-01
658,5945,9.04,1.0e-04,3.013e-01
659,5954,9.04,1.0e-04,3.110e-01
660,5963,9.04,1.0e-04,1.748e-01
661,5972,9.04,1.0e-04,3.012e-01
662,5981,9.04,1.0e-04,2.434e-01
663,5990,9.03,1.0e-04,1.752e-01
664,5999,9.03,1.0e-04,1.887e-01
665,6007,9.03,1.0e-04,2.394e-01
666,6017,9.03,1.0e-04,1.373e-01
667,6026,9.04,1.0e-04,2.059e-01
668,6035,9.03,1.0e-04,2.737e-01
669,6044,9.04,1.0e-04,1.594e-01
670,6053,9.03,1.0e-04,2.657e-01
671,6062,9.03,1.0e-04,3.055e-01
672,6071,9.03,1.0e-04,2.589e-01
673,6080,9.03,1.0e-04,4.128e-01
674,6089,9.03,1.0e-04,2.536e-01
675,6098,9.03,1.0e-04,3.463e-01
676,6107,9.04,1.0e-04,1.225e-01
677,6116,9.03,1.0e-04,2.050e-01
678,6125,9.04,1.0e-04,2.128e-01
679,6134,9.04,1.0e-04,2.190e-01
680,6143,9.03,1.0e-04,1.831e-01
681,6152,9.03,1.0e-04,1.301e-01
682,6161,9.03,1.0e-04,2.281e-01
683,6170,9.03,1.0e-04,1.618e-01
684,6179,9.03,1.0e-04,3.477e-01
685,6188,9.03,1.0e-04,2.577e-01
686,6196,9.03,1.0e-04,2.743e-01
687,6205,9.03,1.0e-04,2.127e-01
688,6214,9.03,1.0e-04,1.587e-01
689,6223,9.03,1.0e-04,3.009e-01
690,6232,9.03,1.0e-04,1.918e-01
691,6241,9.03,1.0e-04,1.702e-01
692,6249,9.03,1.0e-04,2.741e-01
693,6258,9.03,1.0e-04,3.014e-01
694,6267,9.03,1.0e-04,1.441e-01
695,6276,9.03,1.0e-04,2.473e-01
696,6285,9.03,1.0e-04,2.031e-01
697,6294,9.03,1.0e-04,1.375e-01
698,6303,9.03,1.0e-04,1.371e-01
699,6312,9.03,1.0e-04,2.261e-01
700,6321,9.03,1.0e-04,2.329e-01
701,6330,9.03,1.0e-04,3.745e-01
702,6339,9.03,1.0e-04,2.750e-01
703,6347,9.03,1.0e-04,1.504e-01
704,6356,9.03,1.0e-04,2.534e-01
705,6365,9.03,1.0e-04,3.675e-01
706,6374,9.03,1.0e-04,2.702e-01
707,6383,9.03,1.0e-04,1.982e-01
708,6392,9.03,1.0e-04,1.079e-01
709,6401,9.03,1.0e-04,1.238e-01
710,6411,9.03,1.0e-04,2.474e-01
711,6420,9.03,1.0e-04,2.761e-01
712,6429,9.03,1.0e-04,2.704e-01
713,6437,9.03,1.0e-04,2.770e-01
714,6446,9.03,1.0e-04,1.268e-01
715,6455,9.03,1.0e-04,2.161e-01
716,6463,9.03,1.0e-04,3.305e-01
717,6473,9.03,1.0e-04,3.661e-01
718,6482,9.03,1.0e-04,1.977e-01
719,6490,9.03,1.0e-04,3.730e-01
720,6499,9.03,1.0e-04,2.506e-01
721,6508,9.03,1.0e-04,2.056e-01
722,6517,9.03,1.0e-04,2.421e-01
723,6527,9.03,1.0e-04,1.449e-01
724,6536,9.03,1.0e-04,1.282e-01
725,6545,9.03,1.0e-04,1.732e-01
726,6554,9.03,1.0e-04,1.409e-01
727,6563,9.03,1.0e-04,1.347e-01
728,6573,9.03,1.0e-04,1.584e-01
729,6582,9.03,1.0e-04,2.035e-01
730,6591,9.03,1.0e-04,1.420e-01
731,6600,9.03,1.0e-04,2.164e-01
732,6609,9.03,1.0e-04,2.526e-01
733,6618,9.03,1.0e-04,1.694e-01
734,6627,9.03,1.0e-04,2.847e-01
735,6636,9.03,1.0e-04,3.576e-01
736,6645,9.03,1.0e-04,3.009e-01
737,6654,9.03,1.0e-04,2.623e-01
738,6664,9.03,1.0e-04,2.660e-01
739,6673,9.03,1.0e-04,2.704e-01
740,6682,9.03,1.0e-04,2.159e-01
741,6692,9.03,1.0e-04,2.067e-01
742,6701,9.03,1.0e-04,1.310e-01
743,6711,9.03,1.0e-04,2.555e-01
744,6720,9.03,1.0e-04,1.900e-01
745,6730,9.03,1.0e-04,2.739e-01
746,6739,9.03,1.0e-04,2.647e-01
747,6748,9.03,1.0e-04,4.157e-01
748,6758,9.03,1.0e-04,3.483e-01
749,6767,9.04,1.0e-04,3.263e-01
750,6776,9.03,1.0e-04,2.659e-01
751,6785,9.04,1.0e-04,3.332e-01
752,6795,9.04,1.0e-04,1.542e-01
753,6804,9.04,1.0e-04,1.838e-01
754,6813,9.04,1.0e-04,2.357e-01
755,6822,9.04,1.0e-04,3.001e-01
756,6831,9.04,1.0e-04,2.672e-01
757,6840,9.04,1.0e-04,3.883e-01
758,6850,9.04,1.0e-04,1.804e-01
759,6858,9.04,1.0e-04,1.809e-01
760,6868,9.04,1.0e-04,3.101e-01
761,6877,9.04,1.0e-04,2.621e-01
762,6886,9.04,1.0e-04,4.287e-01
763,6895,9.04,1.0e-04,3.115e-01
764,6904,9.04,1.0e-04,2.254e-01
765,6913,9.04,1.0e-04,2.937e-01
766,6922,9.04,1.0e-04,2.845e-01
767,6931,9.04,1.0e-04,2.702e-01
768,6940,9.04,1.0e-04,2.723e-01
769,6950,9.04,1.0e-04,1.455e-01
770,6959,9.04,1.0e-04,2.228e-01
771,6968,9.04,1.0e-04,3.283e-01
772,6977,9.04,1.0e-04,2.138e-01
773,6986,9.04,1.0e-04,1.119e-01
774,6995,9.04,1.0e-04,1.992e-01
775,7004,9.04,1.0e-04,1.981e-01
776,7014,9.04,1.0e-04,1.918e-01
777,7023,9.04,1.0e-04,1.328e-01
778,7033,9.04,1.0e-04,1.734e-01
779,7042,9.04,1.0e-04,3.969e-01
780,7051,9.04,1.0e-04,1.960e-01
781,7060,9.04,1.0e-04,1.995e-01
782,7070,9.04,1.0e-04,2.710e-01
783,7079,9.04,1.0e-04,1.599e-01
784,7088,9.04,1.0e-04,1.741e-01
785,7097,9.04,1.0e-04,1.694e-01
786,7106,9.04,1.0e-04,1.433e-01
787,7115,9.04,1.0e-04,1.532e-01
788,7124,9.04,1.0e-04,1.689e-01
789,7133,9.04,1.0e-04,3.193e-01
790,7142,9.04,1.0e-04,1.998e-01
791,7151,9.04,1.0e-04,2.331e-01
792,7160,9.04,1.0e-04,4.306e-01
793,7169,9.04,1.0e-04,2.892e-01
794,7178,9.04,1.0e-04,1.893e-01
795,7188,9.04,1.0e-04,1.593e-01
796,7197,9.04,1.0e-04,1.228e-01
797,7206,9.04,1.0e-04,2.382e-01
798,7215,9.04,1.0e-04,2.258e-01
799,7215,9.03,1.0e-04,2.258e-01
